method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage
Baseline,2025-10-15 21:21:28.829829,0.680312362953029,True,68.0312362953029,sad,happy,False,0.0,0.1677817702293396,0.4416924927286844,44.16924927286844,13.117441942149732,0.2631131911943144,26.31131911943144,0.21726621511577013,21.72662151157701,12.673861016666187,1267.3861016666187,0.3644891183781583,36.44891183781583,6.5191750675221725,651.9175067522173
Enhanced Pipeline,2025-10-15 21:21:32.132791,0.7766294190913012,True,77.66294190913013,sad,sad,True,100.0,0.8960896730422974,0.3715436231719831,37.154362317198306,11.57992113220156,0.30628188206756324,30.628188206756324,0.11246812560660602,11.2468125606606,12.71955280977137,1271.955280977137,0.5701100515129123,57.01100515129123,6.644831430642141,664.4831430642141
Adaptive Identity-Aware,2025-10-15 21:21:34.739978,0.7940332097647731,True,79.4033209764773,sad,sad,True,100.0,0.6487962007522583,0.7721303510866343,77.21303510866343,18.64194699463079,0.5510722118430672,55.107221184306724,0.9772452858970802,97.72452858970802,13.652350257424747,1365.2350257424746,0.8218836578077808,82.18836578077808,7.237116957616264,723.7116957616264
Anime Style,2025-10-15 21:21:37.279318,0.5327607035947921,False,53.27607035947921,sad,happy,False,0.0,0.16914528608322144,0.4311532595832736,43.11532595832736,11.804098289662297,0.25462133727501957,25.462133727501957,0.20444399683882875,20.444399683882875,12.500596869973574,1250.0596869973574,0.3149186631121696,31.49186631121696,6.407757766542872,640.7757766542873
Enhanced Anime,2025-10-15 21:21:39.765815,0.6906659947154796,True,69.06659947154796,sad,neutral,False,0.0,0.5121709108352661,0.40571570894475406,40.57157089447541,12.589211589797136,0.2003809358902212,20.03809358902212,0.2954604646108555,29.546046461085552,7.666505683450138,766.6505683450138,0.36271915027875623,36.27191502787562,4.0146124168644475,401.46124168644474
Comic Style,2025-10-15 21:21:43.088286,0.5758396599824375,False,57.58396599824375,sad,fear,False,0.0,0.19144928455352783,0.19669873221320908,19.66987322132091,10.078813313689864,0.0,0.0,0.15593917753587172,15.593917753587172,4.965384579826804,496.53845798268037,0.23548252106775383,23.548252106775383,2.6004335504472786,260.0433550447279
