method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage
Enhanced Pipeline,2025-10-15 21:21:55.136159,0.7814299453625747,True,78.14299453625748,sad,sad,True,100.0,0.8557133674621582,0.3738510839627915,37.38510839627915,11.601770396722355,0.3085077613716264,30.85077613716264,0.11401995831734936,11.401995831734936,12.52879114487592,1252.879114487592,0.5725783583546771,57.25783583546771,6.550684751615298,655.0684751615298
Enhanced Pipeline,2025-10-15 21:22:07.735976,0.9431685394038694,True,94.31685394038693,neutral,sad,False,0.0,0.45149922370910645,0.36286813743419916,36.28681374341991,12.040816520982718,0.1548053815732208,15.48053815732208,0.0026711662672707823,0.26711662672707825,14.121418874404009,1412.141887440401,0.3791456714840744,37.91456714840744,7.250282272944042,725.0282272944042
Enhanced Pipeline,2025-10-15 21:22:20.247604,0.9476414553413173,True,94.76414553413173,happy,happy,True,100.0,0.9927276968955994,0.4542850930416864,45.42850930416864,13.166035904210183,0.2645219085937009,26.452190859370088,-0.0565603465811342,-5.65603465811342,15.577804215375114,1557.7804215375113,0.6063436895126175,60.63436895126175,8.092073952443865,809.2073952443865
Enhanced Pipeline,2025-10-15 21:22:33.381784,0.8321478690426489,True,83.2147869042649,happy,happy,True,100.0,0.9258353114128113,0.37382126406947613,37.38212640694761,13.913141602385116,0.24542890789636793,24.542890789636793,0.026627367834976424,2.6627367834976425,17.347395970961628,1734.739597096163,0.5652170548863915,56.52170548863915,8.95630651292401,895.630651292401
Enhanced Pipeline,2025-10-15 21:22:46.075403,0.9480215954370419,True,94.80215954370419,angry,sad,False,0.0,0.5093001127243042,0.4352824971693863,43.528249716938625,12.396587866777995,0.19369127783405837,19.369127783405837,-0.09808089137709775,-9.808089137709775,13.583785427317899,1358.3785427317898,0.38580453603353393,38.58045360335339,6.984794981675717,698.4794981675717
Enhanced Pipeline,2025-10-15 21:22:58.534271,0.9035809054193928,True,90.35809054193929,happy,happy,True,100.0,0.9930384755134583,0.41401661162438463,41.401661162438465,12.126690413655194,0.2618714238794102,26.18714238794102,-0.24770194267718007,-24.770194267718008,15.059280494241154,1505.9280494241154,0.5560030161310293,55.60030161310293,7.807641755186092,780.7641755186091
Enhanced Pipeline,2025-10-15 21:23:11.392849,0.9413027921893393,True,94.13027921893394,happy,angry,False,0.0,0.22891145944595337,0.4391978018350991,43.91978018350991,13.426707322677174,0.33304528412337797,33.304528412337795,-0.15061181663329032,-15.061181663329032,17.9411342755486,1794.11342755486,0.3975954181473348,39.75954181473348,9.169364846847968,916.9364846847967
Enhanced Pipeline,2025-10-15 21:23:23.697262,0.9005626285852865,True,90.05626285852864,happy,happy,True,100.0,0.8579739332199097,0.5281214123561451,52.812141235614504,13.807811546967855,0.3712714495060114,37.127144950601135,0.06198412857812833,6.198412857812833,16.155958292344035,1615.5958292344035,0.6407814077594359,64.0781407759436,8.398369850051736,839.8369850051736
Enhanced Pipeline,2025-10-15 21:23:36.080068,0.8515593423810233,True,85.15593423810233,happy,happy,True,100.0,0.9584822654724121,0.5122782156400352,51.22782156400352,15.70238266597489,0.22783473759009237,22.783473759009237,0.02585838341804199,2.585838341804199,12.945241964003618,1294.5241964003617,0.5959774139935341,59.59774139935341,6.770609688998576,677.0609688998576
Enhanced Pipeline,2025-10-15 21:23:49.063113,0.9480368497949115,True,94.80368497949115,happy,happy,True,100.0,0.795248806476593,0.3239622391132651,32.39622391132651,11.73693883697096,0.15383963814396315,15.383963814396315,0.07238121458374379,7.238121458374379,15.31623466940487,1531.623466940487,0.5831366306702825,58.31366306702825,7.949685650037576,794.9685650037576
