method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage,image_name
Simple Quantization,2025-10-16 04:52:46.280669,0.9610424543918192,True,96.10424543918192,happy,happy,True,100.0,0.9930082559585571,0.8749600628688247,87.49600628688246,30.359788680394498,0.5940498400852878,59.404984008528785,0.1466197948816807,14.66197948816807,7.94382495655733,794.382495655733,0.7744051941363559,77.44051941363558,4.359115075346843,435.91150753468423,celebhq_0003.jpg
Edge-Preserving,2025-10-16 04:52:48.858713,0.5715970495722906,False,57.15970495722906,happy,surprise,False,0.0,0.21621352434158325,0.7809230766111122,78.09230766111122,28.113432477629267,0.19672558301124768,19.672558301124766,0.842402494688859,84.24024946888589,1.9420184954474955,194.20184954474956,0.4835329418489256,48.35329418489256,1.2127757186482104,121.27757186482104,celebhq_0003.jpg
Our Method,2025-10-16 04:52:51.613568,0.8388337103528773,True,83.88337103528774,happy,happy,True,100.0,0.9258354902267456,0.3737477788036183,37.37477788036183,13.914266805655256,0.2448847328951023,24.488473289510228,0.024207158936408384,2.4207158936408386,17.436093166575713,1743.6093166575713,0.5667634526413134,56.67634526413134,9.001428309608514,900.1428309608514,celebhq_0003.jpg
Our Adaptive,2025-10-16 04:52:55.233196,0.8212613614392152,True,82.12613614392153,happy,happy,True,100.0,0.9273996949195862,0.7724049365639262,77.24049365639262,17.616587884557077,0.6322488550526378,63.224885505263785,0.33219310002520347,33.219310002520345,9.95301264145795,995.3012641457949,0.7455256890062261,74.5525689006226,5.349269165232087,534.9269165232088,celebhq_0003.jpg
OpenCV Baseline,2025-10-16 04:59:02.709821,0.8911511449751164,True,89.11511449751164,angry,angry,True,100.0,0.6125597357749939,0.3646882585972708,36.468825859727076,11.273200303684177,0.16877221940071102,16.877221940071102,0.0766036530644403,7.66036530644403,17.447176787432504,1744.7176787432504,0.5770893760817618,57.70893760817618,9.012133081757133,901.2133081757133,celebhq_0004.jpg
Simple Quantization,2025-10-16 04:59:05.010190,0.9302269511872734,True,93.02269511872734,angry,fear,False,0.0,0.31239432096481323,0.8972341209805634,89.72341209805634,30.620410925201696,0.5448790095666854,54.48790095666855,0.27073349625834875,27.073349625834876,5.697370556102079,569.7370556102079,0.5808567854260498,58.08567854260498,3.139113670764065,313.91136707640646,celebhq_0004.jpg
Edge-Preserving,2025-10-16 04:59:07.478302,0.9748737543696373,True,97.48737543696373,angry,happy,False,0.0,0.23195576667785645,0.8040334732009453,80.40334732009453,28.69708860868128,0.27372448979591835,27.372448979591834,0.5184844508323253,51.848445083232534,1.8282539053524243,182.82539053524243,0.5721001620453168,57.21001620453168,1.2001770336988704,120.01770336988704,celebhq_0004.jpg
Our Method,2025-10-16 04:59:10.313504,0.9502140959600005,True,95.02140959600005,angry,sad,False,0.0,0.5103508234024048,0.43626745302952663,43.62674530295266,12.393747468338788,0.19314647915222344,19.314647915222345,-0.09358507798007137,-9.358507798007137,13.62496113945456,1362.496113945456,0.3872519295697283,38.72519295697283,7.006106534512145,700.6106534512145,celebhq_0004.jpg
Our Adaptive,2025-10-16 04:59:12.597705,0.8474484616837061,True,84.74484616837061,angry,angry,True,100.0,0.7121418714523315,0.8154214748649283,81.54214748649284,20.468132296288534,0.5217207116999153,52.17207116999153,0.2889195403610643,28.891954036106434,7.555463898602654,755.5463898602654,0.7389148712872443,73.89148712872444,4.147189384944949,414.71893849449486,celebhq_0004.jpg
OpenCV Baseline,2025-10-16 05:05:28.322370,0.9012430821439796,True,90.12430821439796,happy,happy,True,100.0,0.9923191666603088,0.3227848798871075,32.27848798871075,11.217900698990015,0.2366722033653499,23.66722033653499,7.979690367366834e-06,0.0007979690367366834,18.656048696181355,1865.6048696181354,0.5704319280789729,57.04319280789729,9.613240312130163,961.3240312130163,celebhq_0005.jpg
