method,timestamp,identity_similarity,identity_preserved,identity_accuracy,original_emotion,stylized_emotion,emotion_preserved,emotion_accuracy,emotion_distribution_similarity,ssim,ssim_percentage,psnr,edge_preservation,edge_preservation_percentage,color_similarity,color_similarity_percentage,cartoon_quality,cartoon_quality_percentage,overall_preservation,overall_preservation_percentage,quality_preservation_balance,balance_percentage,image_name
Our Method,2025-10-16 06:08:33.013370,0.9464292817702221,True,94.64292817702221,happy,happy,True,100.0,0.6278835535049438,0.2956584976928878,29.565849769288782,10.331651666666424,0.07067508499271491,7.067508499271491,0.026623387459117475,2.6623387459117476,14.657872525383445,1465.7872525383445,0.5576552549374191,55.765525493741904,7.607763890160432,760.7763890160431,celebhq_0013.jpg
Our Adaptive,2025-10-16 06:08:36.078935,0.7244004086593624,True,72.44004086593624,happy,neutral,False,0.0,0.1735324263572693,0.7546212619107138,75.46212619107138,13.953980827461463,0.2592483708167965,25.92483708167965,0.3368127616109795,33.68127616109795,6.040219605389763,604.0219605389763,0.45765354484411785,45.76535448441179,3.2489365751169403,324.893657511694,celebhq_0013.jpg
OpenCV Baseline,2025-10-16 06:14:41.402254,0.9298282234555666,True,92.98282234555666,neutral,neutral,True,100.0,0.7222825288772583,0.39040305392373803,39.0403053923738,13.584560090268907,0.13183385066525247,13.183385066525247,0.04998758256689756,4.998758256689756,18.11598943373736,1811.5989433737361,0.5843022928062401,58.43022928062401,9.3501458632718,935.01458632718,celebhq_0014.jpg
Simple Quantization,2025-10-16 06:14:44.549971,0.991013673855865,True,99.1013673855865,neutral,neutral,True,100.0,0.7603840827941895,0.7814206697879068,78.14206697879068,28.40690801572749,0.47864190365641324,47.86419036564132,0.20082718951914355,20.082718951914355,4.5434472521613625,454.3447252161362,0.7555086000906743,75.55086000906743,2.6494779261260186,264.94779261260186,celebhq_0014.jpg
Edge-Preserving,2025-10-16 06:14:47.577752,0.9720486359873328,True,97.20486359873328,neutral,neutral,True,100.0,0.7836132049560547,0.7547280157506099,75.47280157506098,29.060117158250577,0.4075572457318553,40.75572457318553,0.8036300451360386,80.36300451360387,2.08442845064051,208.44284506405103,0.824238287576506,82.4238287576506,1.454333369108508,145.4333369108508,celebhq_0014.jpg
Our Method,2025-10-16 06:14:51.560390,0.9220988110253723,True,92.20988110253722,neutral,neutral,True,100.0,0.9127810001373291,0.3086491895112129,30.86491895112129,11.510804146620439,0.1244163333643382,12.44163333643382,-0.042143052073130925,-4.214305207313092,14.594861755371094,1459.4861755371094,0.5507004734035353,55.07004734035353,7.572781114387315,757.2781114387315,celebhq_0014.jpg
Our Adaptive,2025-10-16 06:14:54.783095,0.8899388253662921,True,88.99388253662921,neutral,angry,False,0.0,0.2831311821937561,0.7814063197789295,78.14063197789295,18.34009655040242,0.40813315679969736,40.81331567996973,0.35405696105340917,35.405696105340915,7.880639280431411,788.0639280431411,0.5375914292436395,53.75914292436394,4.209115354837525,420.9115354837525,celebhq_0014.jpg
OpenCV Baseline,2025-10-16 06:21:37.797631,0.854193097438043,True,85.41930974380429,neutral,neutral,True,100.0,0.9416524171829224,0.4158725250046153,41.58725250046153,12.753428810014555,0.16631569167879595,16.631569167879594,0.8844051856830895,88.44051856830895,17.567664583991554,1756.7664583991555,0.6970405658366188,69.70405658366188,9.132352574914087,913.2352574914087,celebhq_0015.jpg
Simple Quantization,2025-10-16 06:21:40.353748,0.9889005425664412,True,98.89005425664412,neutral,neutral,True,100.0,0.9486775994300842,0.8406012094790398,84.06012094790398,29.197366965466692,0.4990664516676568,49.90664516676568,0.15871919880340135,15.871919880340135,6.087668959673713,608.7668959673713,0.7634582522363991,76.3458252236399,3.425563605955056,342.55636059550557,celebhq_0015.jpg
Edge-Preserving,2025-10-16 06:21:43.613433,0.9708104391616168,True,97.08104391616168,neutral,neutral,True,100.0,0.7784603834152222,0.72226776594239,72.226776594239,29.427788869780507,0.2738756652435815,27.38756652435815,0.37754758398452526,37.75475839845252,2.012133928186753,201.21339281867532,0.7334101723211791,73.3410172321179,1.3727720502539662,137.27720502539663,celebhq_0015.jpg
Our Method,2025-10-16 06:21:45.690563,0.8954279858968268,True,89.54279858968268,neutral,sad,False,0.0,0.47312259674072266,0.3337927112037586,33.37927112037586,11.440921969050962,0.17490939293264873,17.490939293264873,0.6234985904902777,62.34985904902777,13.79078056784237,1379.078056784237,0.45514813552323863,45.514813552323865,7.122964351682804,712.2964351682805,celebhq_0015.jpg
Our Adaptive,2025-10-16 06:21:48.099493,0.8112998257635754,True,81.12998257635753,neutral,neutral,True,100.0,0.9382314085960388,0.7550517801821242,75.50517801821242,16.621985398429302,0.42421571011673154,42.42157101167315,0.8579312561423119,85.79312561423119,9.34589308346019,934.589308346019,0.7867223487043539,78.67223487043539,5.066307716082272,506.6307716082272,celebhq_0015.jpg
OpenCV Baseline,2025-10-16 06:32:49.662296,0.6429617909968098,True,64.29617909968098,sad,angry,False,0.0,0.16885244846343994,0.4430094951123881,44.300949511238805,13.803704377920415,0.23883968589766574,23.883968589766575,0.3177773110055409,31.777731100554092,15.017292606129367,1501.7292606129367,0.36498298585700156,36.498298585700155,7.691137795993184,769.1137795993184,celebhq_0016.jpg
Simple Quantization,2025-10-16 06:32:52.066752,0.6179374748289888,True,61.79374748289887,sad,sad,True,100.0,0.8479902148246765,0.8661558038143871,86.6155803814387,29.866053070801332,0.6126909327266818,61.26909327266819,0.0760833788311871,7.608337883118709,6.597096422980814,659.7096422980813,0.6619285499452545,66.19285499452545,3.629512486463034,362.9512486463034,celebhq_0016.jpg
Edge-Preserving,2025-10-16 06:32:54.341409,0.8738188414449402,True,87.38188414449401,sad,sad,True,100.0,0.6699415445327759,0.8160665932970811,81.60665932970811,27.996055917991395,0.32832650584129874,32.83265058412987,0.5641283537191427,56.41283537191427,2.576759885900161,257.67598859001606,0.7592272000269645,75.92272000269645,1.6679935429635626,166.79935429635626,celebhq_0016.jpg
Our Method,2025-10-16 06:32:57.101742,0.6368136282933887,True,63.68136282933887,sad,angry,False,0.0,0.4661029577255249,0.4798467246022779,47.98467246022779,14.46472880309942,0.24151266870003787,24.151266870003788,0.20859802929927332,20.859802929927334,13.085321412927964,1308.5321412927965,0.3545300381083689,35.45300381083689,6.719925725518166,671.9925725518167,celebhq_0016.jpg
Our Adaptive,2025-10-16 06:33:00.051701,0.5768632432332174,False,57.686324323321735,sad,neutral,False,0.0,0.2538294196128845,0.8178744493034418,81.78744493034418,23.972531433076583,0.5914343330879294,59.143433308792936,0.7686979158514028,76.86979158514028,9.442455332138959,944.2455332138959,0.5406537001715535,54.065370017155345,4.991554516155256,499.15545161552564,celebhq_0016.jpg
OpenCV Baseline,2025-10-16 06:42:16.840112,0.7906018566945072,True,79.06018566945072,fear,neutral,False,0.0,0.2914683222770691,0.4105441702311327,41.054417023113274,14.915242611877277,0.11881719320690864,11.881719320690864,0.27501568003411386,27.501568003411386,13.805958678301643,1380.5958678301643,0.3783643220407321,37.83643220407321,7.092161500171187,709.2161500171187,celebhq_0017.jpg
Simple Quantization,2025-10-16 06:42:19.265172,0.645544407810678,True,64.5544407810678,fear,fear,True,100.0,0.6643428802490234,0.8664849052497935,86.64849052497935,29.59196655105755,0.4518840579710145,45.18840579710145,0.2752455720477353,27.52455720477353,3.943933217665728,394.3933217665728,0.6760297478959746,67.60297478959745,2.3099814827808514,230.99814827808513,celebhq_0017.jpg
Edge-Preserving,2025-10-16 06:42:21.420901,0.9833285205115014,True,98.33285205115014,fear,fear,True,100.0,0.7422369718551636,0.8631455501468637,86.31455501468636,30.112809291485302,0.4080666967102298,40.80666967102298,0.766161980646974,76.6161980646974,1.668585402544807,166.85854025448072,0.8437619677864037,84.37619677864036,1.2561736851656053,125.61736851656053,celebhq_0017.jpg
Our Method,2025-10-16 06:42:24.373368,0.826552847427244,True,82.6552847427244,fear,sad,False,0.0,0.37713563442230225,0.4061453243358328,40.61453243358328,13.838443492625396,0.13331005399016896,13.331005399016895,0.03022914955904467,3.022914955904467,10.316492403815776,1031.6492403815776,0.35372579962772177,35.37257996277218,5.3351091017217485,533.5109101721748,celebhq_0017.jpg
Our Adaptive,2025-10-16 06:42:27.172482,0.7453172520303405,True,74.53172520303404,fear,neutral,False,0.0,0.28729379177093506,0.8445382733480714,84.45382733480714,22.397767427265354,0.39282704866231305,39.282704866231306,0.9704345652260402,97.04345652260402,5.752047181970933,575.2047181970933,0.5969920723619694,59.69920723619694,3.174519627166451,317.4519627166451,celebhq_0017.jpg
OpenCV Baseline,2025-10-16 06:48:44.159567,0.8487476370381337,True,84.87476370381337,fear,sad,False,0.0,0.22164738178253174,0.40072893083461475,40.07289308346147,12.990768735802531,0.18823569845170382,18.823569845170383,0.1287641002378502,12.87641002378502,15.993458723180433,1599.3458723180433,0.38232004708179623,38.23200470817962,8.187889385131115,818.7889385131115,celebhq_0018.jpg
Simple Quantization,2025-10-16 06:48:46.786798,0.9569402953252508,True,95.69402953252508,fear,fear,True,100.0,0.7576558589935303,0.873644391729532,87.3644391729532,29.660537430287096,0.4569063327310165,45.690633273101646,0.27859087411574085,27.859087411574084,6.047387192670037,604.7387192670037,0.7721355479704951,77.21355479704951,3.409761370320266,340.9761370320266,celebhq_0018.jpg
Edge-Preserving,2025-10-16 06:48:49.095227,0.5243492427530458,False,52.43492427530458,fear,angry,False,0.0,0.18953919410705566,0.8377353286070905,83.77353286070905,29.477900950556855,0.32505888747961587,32.505888747961585,0.797577131415431,79.75771314154309,2.249565137975356,224.9565137975356,0.4932472413815889,49.324724138158885,1.3714061896784724,137.14061896784725,celebhq_0018.jpg
Our Method,2025-10-16 06:48:50.934312,0.8767358747275535,True,87.67358747275536,fear,fear,True,100.0,0.7828304767608643,0.4472837007570991,44.72837007570991,15.257691826419347,0.18699106648746935,18.699106648746934,-0.02298449538704465,-2.2984495387044652,13.391508389641258,1339.1508389641258,0.5770784882347497,57.707848823474976,6.984293438938003,698.4293438938004,celebhq_0018.jpg
Our Adaptive,2025-10-16 06:48:53.705603,0.841221698121936,True,84.1221698121936,fear,sad,False,0.0,0.23883426189422607,0.7792563415549247,77.92563415549247,15.779442620285419,0.4954515682992504,49.54515682992504,0.43732657060421515,43.732657060421516,7.864456535788143,786.4456535788144,0.5481344985830856,54.81344985830856,4.206295517185614,420.6295517185614,celebhq_0018.jpg
OpenCV Baseline,2025-10-16 06:55:52.795686,0.7956862359464097,True,79.56862359464097,happy,angry,False,0.0,0.167469322681427,0.3097980239811524,30.97980239811524,10.96579091400235,0.1973191405479992,19.73191405479992,0.19821357459312763,19.821357459312765,18.044056086820714,1804.4056086820713,0.3599953828513224,35.99953828513224,9.202025734836019,920.2025734836019,celebhq_0019.jpg
Simple Quantization,2025-10-16 06:55:56.381868,0.9845450567677747,True,98.45450567677747,happy,happy,True,100.0,0.996428370475769,0.8815099753660666,88.15099753660665,28.681501956352538,0.4993216250847969,49.932162508479685,0.2681847815133284,26.81847815133284,6.780353532678941,678.035353267894,0.7867914730932646,78.67914730932645,3.783572502886103,378.3572502886103,celebhq_0019.jpg
Edge-Preserving,2025-10-16 06:55:58.791543,0.9325713456542605,True,93.25713456542604,happy,happy,True,100.0,0.9863191246986389,0.8327421345235421,83.2742134523542,28.841766696230238,0.41403761175624293,41.40376117562429,0.809443026948457,80.9443026948457,3.086724552827723,308.6724552827723,0.8298419264066914,82.98419264066914,1.9582832396172072,195.8283239617207,celebhq_0019.jpg
Our Method,2025-10-16 06:56:01.135260,0.8554392993209015,True,85.54392993209015,happy,neutral,False,0.0,0.17051798105239868,0.46317713862547927,46.317713862547926,10.079601614695237,0.22650607271113263,22.650607271113262,-0.045754596291297446,-4.575459629129744,12.75544241063735,1275.544241063735,0.37637993898434163,37.63799389843416,6.565911174810846,656.5911174810846,celebhq_0019.jpg
Our Adaptive,2025-10-16 06:56:03.708037,0.7928508246075008,True,79.28508246075008,happy,happy,True,100.0,0.9039064049720764,0.7868538635830167,78.68538635830167,18.24413006161544,0.5506531204644413,55.06531204644413,0.8943020171420853,89.43020171420854,9.112697260239544,911.2697260239545,0.8119692907398326,81.19692907398326,4.962333275489689,496.2333275489689,celebhq_0019.jpg
